S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
300,brittikitty,Brittany & Lily,13.5M,3.1M,433.3K,1.2K,1.7K,13.5,3.1,0.4333,1200.0,1700.0
301,mieayamthebstt,Unaa🍜,16.2M,3.5M,275.5K,2.5K,1.5K,16.2,3.5,0.2755,2500.0,1500.0
302,cryingben,benoftheyear,1.6M,2M,442K,3.7K,764,1.6,2.0,0.442,3700.0,764.0
303,keniaos,KeniaOs,15.4M,2M,341.8K,4.1K,1.5K,15.4,2.0,0.3418,4100.0,1500.0
304,okunonolife,nono,839.7K,3M,318.2K,1K,2.9K,0.8397,3.0,0.3182,1000.0,2900.0
305,camxnie,Cam & Nie,3.5M,1.9M,323.6K,1K,5.3K,3.5,1.9,0.3236,1000.0,5300.0
306,loewhaley,Laura,2.7M,2.5M,211.2K,1K,6.1K,2.7,2.5,0.2112,1000.0,6100.0
307,vicblends,VicBlends,13.2M,2.7M,523.9K,1.8K,836,13.2,2.7,0.5239,1800.0,836.0
308,meganfitton6,user3892932795857,8.7K,2M,315.3K,1.6K,4.4K,0.0087,2.0,0.3153,1600.0,4400.0
309,renpc_,✨Ren PC✨,4.8M,1.6M,339.3K,1.6K,5.3K,4.8,1.6,0.3393,1600.0,5300.0
310,christophersturniolo,Christopher Sturniolo,2.7M,1.6M,361.2K,5K,1.3K,2.7,1.6,0.36119999999999997,5000.0,1300.0
311,snoopdogg,Snoop Dogg,23.4M,3.7M,168.1K,2.7K,3.3K,23.4,3.7,0.1681,2700.0,3300.0
312,mdmotivator,Zachery Dereniowski,10.7M,3M,424.9K,1.8K,1K,10.7,3.0,0.4249,1800.0,1000.0
313,naimdarrechi,Naim Darrechi🏆,28.1M,2.3M,228.4K,1.1K,6K,28.1,2.3,0.2284,1100.0,6000.0
314,iamsungstarwin,Sungstarwin,2.2M,4.7M,651.9K,653,532,2.2,4.7,0.6518999999999999,653.0,532.0
315,kopke613,kopke613,4M,1.6M,222.1K,3.3K,6.9K,4.0,1.6,0.2221,3300.0,6900.0
316,esen_alva,Esen,4.4M,1.6M,328.2K,1.1K,5.8K,4.4,1.6,0.3282,1100.0,5800.0
317,grillervm,GrillerVM,3.1M,2.5M,371.2K,1.3K,2.6K,3.1,2.5,0.3712,1300.0,2600.0
318,jerellware,jerell ware,95.8K,2.2M,433.9K,1.5K,2.3K,0.0958,2.2,0.43389999999999995,1500.0,2300.0
319,jimmydarts,Jimmy Darts,8.9M,2.6M,506K,2.1K,643,8.9,2.6,0.506,2100.0,643.0
320,vienvibi_899,Viên Vibi,7.5M,4M,375.8K,2K,394,7.5,4.0,0.3758,2000.0,394.0
321,noguidnce,NO GUIDNCE,2.2M,2.2M,430.6K,2.1K,1.8K,2.2,2.2,0.43060000000000004,2100.0,1800.0
322,lachama4_ff,LA CHAMA ᴰ,9.6M,2.7M,363K,3.4K,318,9.6,2.7,0.363,3400.0,318.0
323,sonrixs_,Sonrixs,13.7M,4M,534.4K,1K,642,13.7,4.0,0.5344,1000.0,642.0
324,vincentgiganteee,Vincent Gigante,2.3M,2.1M,300.9K,1.6K,3.9K,2.3,2.1,0.3009,1600.0,3900.0
325,jerofreixas,jerofreixas,1.4M,1.9M,184.9K,1.4K,8.7K,1.4,1.9,0.1849,1400.0,8700.0
326,madamsoniia,Madam Sonia,3.6M,6.4M,474.6K,635,509,3.6,6.4,0.4746,635.0,509.0
327,cznburak,cznburak,63.6M,4.6M,228.4K,2.3K,978,63.6,4.6,0.2284,2300.0,978.0
328,la.maraaa,LA MARA,7.3M,2.9M,376.9K,2.2K,904,7.3,2.9,0.37689999999999996,2200.0,904.0
329,louvoresgospelbr,louvoresgospelbr,1.3M,1.9M,221.3K,1.1K,6.9K,1.3,1.9,0.22130000000000002,1100.0,6900.0
330,rucenuenda1,Ruce Nuenda,2.1M,3.3M,490.6K,1.5K,554,2.1,3.3,0.49060000000000004,1500.0,554.0
331,nourmar5,nourmar5,14.6M,1.8M,136.9K,4.8K,8.8K,14.6,1.8,0.1369,4800.0,8800.0
332,bebopandbebe,BebopandBebe,750.4K,3.3M,127.2K,7.6K,354,0.7504,3.3,0.1272,7600.0,354.0
333,daniimolalaa,Ladaniuu,499.9K,2.4M,586.5K,998,1.3K,0.49989999999999996,2.4,0.5865,998.0,1300.0
334,jaimeonod,Telma,1.8M,2M,296.1K,3.8K,1.8K,1.8,2.0,0.29610000000000003,3800.0,1800.0
335,starirawan,ssssttttaaaarrrr,550.3K,1.8M,177.3K,8.6K,1.8K,0.5502999999999999,1.8,0.1773,8600.0,1800.0
336,patriotickenny,patriotickenny,2.3M,2.1M,292.9K,2K,3.3K,2.3,2.1,0.2929,2000.0,3300.0
337,xxlechuga,Daniel Lechuga,5.3M,2.2M,476.1K,1.2K,1.9K,5.3,2.2,0.4761,1200.0,1900.0
338,manhtienkhoi_,Mạnh Tiến Khôi 🐯,4.6M,3M,276.4K,2.6K,1.3K,4.6,3.0,0.2764,2600.0,1300.0
339,itsjojosiwa,JoJo Siwa,43.5M,4.2M,422K,1.4K,399,43.5,4.2,0.422,1400.0,399.0
340,ajkhiphop,kelil,36.5K,4.6M,670.6K,686,355,0.0365,4.6,0.6706,686.0,355.0
341,ustazebitlew,Ebit Lew,4.1M,1.9M,156.3K,6.3K,4.4K,4.1,1.9,0.15630000000000002,6300.0,4400.0
342,cedricgrolet,Cedric Grolet,1.3M,3.3M,251.8K,1.1K,2.7K,1.3,3.3,0.2518,1100.0,2700.0
343,danythegaggio,Daniele Cabras,3.2M,2M,217.2K,2.3K,5.2K,3.2,2.0,0.21719999999999998,2300.0,5200.0
344,dylanpage.ning,Dylan Page,3.1M,1.6M,239.4K,5.4K,3K,3.1,1.6,0.2394,5400.0,3000.0
345,mastermind_ph,Mastermind PH,2.1M,2.6M,273K,2.1K,2.3K,2.1,2.6,0.273,2100.0,2300.0
346,maluborgesm,MALU BORGES,2.9M,1.9M,280.4K,4.8K,1K,2.9,1.9,0.2804,4800.0,1000.0
347,vito.video,Vito 🌍🚴‍♂️,1.9M,2.2M,340K,2K,2.2K,1.9,2.2,0.34,2000.0,2200.0
348,frnzlynfby,Feby,3.7M,1.9M,361K,2.6K,2K,3.7,1.9,0.361,2600.0,2000.0
349,carolvillanes,Carol Villanes,6.3M,2M,294.7K,4.8K,467,6.3,2.0,0.29469999999999996,4800.0,467.0
350,mariabecerra_22,Maria Becerra,8.3M,2.7M,388.3K,2.2K,712,8.3,2.7,0.38830000000000003,2200.0,712.0
351,onerepublic,OneRepublic,691.7K,2.8M,323K,955,2.5K,0.6917000000000001,2.8,0.323,955.0,2500.0
352,ngikuttrendaja,Ahmad Rizki,192.8K,3.7M,304.5K,1.5K,1.2K,0.1928,3.7,0.3045,1500.0,1200.0
353,flickerspark_,flickerspark_,1.2M,2.1M,516.8K,1.4K,1.5K,1.2,2.1,0.5167999999999999,1400.0,1500.0
354,cvsthetico,cvstage,168.2K,2.3M,313.1K,2.5K,1.8K,0.1682,2.3,0.31310000000000004,2500.0,1800.0
355,yahia_x,يحيى الزعبي,2.2M,4M,189.9K,1K,3.1K,2.2,4.0,0.1899,1000.0,3100.0
356,jennialarcon_,Jenni Alarcon,3.1M,2M,348.4K,2.5K,1.9K,3.1,2.0,0.3484,2500.0,1900.0
357,airiiqtieeee,inoue`,53.1K,1.8M,321.3K,2.7K,2.6K,0.0531,1.8,0.32130000000000003,2700.0,2600.0
358,officialsunnydaze,SUNNY DAZE,1.6M,3.1M,495.3K,844,1.2K,1.6,3.1,0.4953,844.0,1200.0
359,los_chicaneros,Los_chicaneros,3.7M,1.9M,218.2K,1.2K,6.1K,3.7,1.9,0.21819999999999998,1200.0,6100.0
360,videoschapin,VideosChapin,56K,2.9M,78.8K,2.7K,10.6K,0.056,2.9,0.0788,2700.0,10600.0
361,wuesilva,Wue Silva,13.1M,4.1M,283.4K,1.2K,1.4K,13.1,4.1,0.2834,1200.0,1400.0
362,ladygaga,ladygaga,7.6M,1.9M,247.5K,4.4K,2K,7.6,1.9,0.2475,4400.0,2000.0
363,cx_.q,مصطفى البصراوي 62,3.3M,3.1M,254K,2.3K,1.5K,3.3,3.1,0.254,2300.0,1500.0
364,mitsy270,mitsy,2.3M,1.9M,338.3K,2.7K,2.1K,2.3,1.9,0.3383,2700.0,2100.0
365,ayesebastien,Sebastien,7.2M,2M,396.5K,2.1K,1.8K,7.2,2.0,0.3965,2100.0,1800.0
366,karljacobs,Karl,11.2M,1.9M,486.5K,2.6K,563,11.2,1.9,0.4865,2600.0,563.0
367,liltjay,Lil Tjay,5.2M,1.9M,291.9K,3.9K,1.4K,5.2,1.9,0.2919,3900.0,1400.0
368,irenehsuu,Irene,98.6K,1.4M,401.7K,1.3K,3.9K,0.0986,1.4,0.4017,1300.0,3900.0
369,doctormiguelpadilla,Doctor Miguel,5.9M,2.1M,321.7K,1.7K,2.6K,5.9,2.1,0.3217,1700.0,2600.0
370,jacobday,Jacob Day,5.6M,1.8M,296.6K,4.4K,1K,5.6,1.8,0.29660000000000003,4400.0,1000.0
371,louflores_,Lou flores,2.8M,2.2M,237.1K,842,4.7K,2.8,2.2,0.2371,842.0,4700.0
372,pakoyaso_,Pakoyaso,12.8M,3.2M,282.6K,1.2K,2K,12.8,3.2,0.2826,1200.0,2000.0
373,ella.tchella,Tchella,2M,1.6M,381.6K,1.5K,3.4K,2.0,1.6,0.38160000000000005,1500.0,3400.0
374,nashvibes,NashVibes Art,3.7M,4.4M,365.5K,1.3K,493,3.7,4.4,0.3655,1300.0,493.0
375,jamesdroz566,jamesdroz5661,103.4K,1.9M,155.4K,2.2K,7.4K,0.1034,1.9,0.1554,2200.0,7400.0
376,egyptianbeaman,egyptianbeaman,872.4K,2.2M,80.5K,1.7K,14.2K,0.8724,2.2,0.0805,1700.0,14200.0
377,mattiastanga,Mattia Stanga,2.7M,1.5M,213.4K,1.4K,7.4K,2.7,1.5,0.2134,1400.0,7400.0
378,gorillaz,Gorillaz,2.3M,1.8M,340.9K,2.8K,1.7K,2.3,1.8,0.3409,2800.0,1700.0
379,lonely.moods,:),354.5K,815.5K,214K,5.4K,10.6K,0.3545,0.8155,0.214,5400.0,10600.0
380,rayanfahmi,Rayoon,3.7M,2.9M,235.9K,2.8K,1.2K,3.7,2.9,0.2359,2800.0,1200.0
381,melmaia,Mel Maia 🍯,11.8M,3.5M,473.9K,988,662,11.8,3.5,0.4739,988.0,662.0
382,vietduongg_,Viet,161.2K,1.2M,129.7K,12.7K,4.8K,0.16119999999999998,1.2,0.12969999999999998,12700.0,4800.0
383,leen_mohd98,LEEN🌸,3.8M,2.9M,190.1K,2.7K,2.3K,3.8,2.9,0.1901,2700.0,2300.0
384,jubiandxian,jubiandxian,5.7M,2.5M,396.2K,1.8K,934,5.7,2.5,0.3962,1800.0,934.0
385,adrianbliss,Adrian Bliss,7.3M,2.3M,413.3K,1.1K,1.7K,7.3,2.3,0.4133,1100.0,1700.0
386,dxddy._.desi,Desiree Montoya❤️,2.9M,1.9M,250.8K,4.9K,764,2.9,1.9,0.2508,4900.0,764.0
387,frankielapenna,Frankie LaPenna,4.8M,2.7M,295.2K,1.4K,2K,4.8,2.7,0.29519999999999996,1400.0,2000.0
388,xxxten1369,XXXTENTACION,3.7M,2.8M,335.1K,1K,1.8K,3.7,2.8,0.3351,1000.0,1800.0
389,softbulletgun97,Tik Toker,1.3M,2.3M,188.3K,2.2K,4.1K,1.3,2.3,0.18830000000000002,2200.0,4100.0
390,katiessigmond,katie sigmond,6.9M,2.9M,340K,1.1K,1.6K,6.9,2.9,0.34,1100.0,1600.0
391,nnatalieaguilar,natalie & the aguilars,4.9M,3.4M,558.8K,568,825,4.9,3.4,0.5588,568.0,825.0
392,elchimbatv,EL CHIMBA,3.3M,3M,285.2K,773,2.4K,3.3,3.0,0.2852,773.0,2400.0
393,deiveleonardooficial,Deive Leonardo,6.1M,1.3M,139.3K,370,14.2K,6.1,1.3,0.1393,370.0,14200.0
394,vitoou,vito•_•,52.4K,1M,179.3K,3.3K,10.9K,0.052399999999999995,1.0,0.17930000000000001,3300.0,10900.0
395,twice_tiktok_official,TWICE,17.9M,1.3M,325.5K,3.7K,2.5K,17.9,1.3,0.3255,3700.0,2500.0
396,christilukasiak0,Christilukasiak,2.3M,2.3M,369.3K,1.8K,1.2K,2.3,2.3,0.3693,1800.0,1200.0
397,katiavlogss,KATIAVLOGS🐒,14.5M,3.4M,274.4K,2.6K,294,14.5,3.4,0.2744,2600.0,294.0
398,nhu_y1203,Nguyễn Ngọc Như Ý🐰,690.2K,2.6M,239.8K,4K,205,0.6902,2.6,0.2398,4000.0,205.0
399,jidion,JiDion,4.2M,1.9M,412.5K,2K,1.3K,4.2,1.9,0.4125,2000.0,1300.0
400,lifeofsal,Sal,614.3K,2.4M,166.2K,1.2K,5.4K,0.6143,2.4,0.1662,1200.0,5400.0
401,nikkietutorials,nikkietutorials,6.2M,3.2M,498K,1.1K,538,6.2,3.2,0.498,1100.0,538.0
402,ivanovik.83,ivanovik.1983,172.7K,2.3M,91.5K,1.1K,11.1K,0.1727,2.3,0.0915,1100.0,11100.0
403,erictro,Eric Tro,4.5M,5.6M,547.4K,507,330,4.5,5.6,0.5474,507.0,330.0
404,virginiafonseca,Virginia,34.1M,3M,410.9K,1.2K,961,34.1,3.0,0.4109,1200.0,961.0
405,paigetaylor.s,Paige Taylor,4.5M,2.6M,393.3K,1.9K,546,4.5,2.6,0.39330000000000004,1900.0,546.0
406,thecoreyb,Corey B,8.8M,1.5M,194.2K,755,8.3K,8.8,1.5,0.19419999999999998,755.0,8300.0
407,carolcastromx,Carol Castro,12.7M,3.4M,450K,1.3K,379,12.7,3.4,0.45,1300.0,379.0
408,ianlucasok,Ian Lucas,4.5M,2.4M,262.9K,3.3K,830,4.5,2.4,0.26289999999999997,3300.0,830.0
409,voronina_valeria_,Valeria Voronina,2.3M,3.7M,460.4K,1.1K,334,2.3,3.7,0.4604,1100.0,334.0
410,pacodemiguel,Paco De Miguel,6.8M,1.5M,229.6K,1.9K,5.4K,6.8,1.5,0.2296,1900.0,5400.0
411,joshrichards,Josh Richards,25.6M,2.7M,354K,1.9K,737,25.6,2.7,0.354,1900.0,737.0
412,surasak1437,s ᴜ ʀ ᴀ s ᴀ ᴋ,1.1M,1.8M,188.5K,463,7K,1.1,1.8,0.1885,463.0,7000.0
413,com.yuta0305,【コムドット】ゆうた,1.2M,1.7M,225.6K,4.7K,1.9K,1.2,1.7,0.2256,4700.0,1900.0
414,ayutingting,Ayu Ting Ting,7.2M,2.9M,239.2K,1.5K,2.1K,7.2,2.9,0.2392,1500.0,2100.0
415,yahayraosorio,Yahayra Osorio,372.6K,2.2M,67.7K,1.1K,15.7K,0.37260000000000004,2.2,0.0677,1100.0,15700.0
416,tina_042,𝒯𝒾𝓃𝒶,795K,1.8M,314K,2K,2.4K,0.795,1.8,0.314,2000.0,2400.0
417,abosaed49,ابو سعيد,661.4K,2.1M,169.4K,3.1K,3.9K,0.6614,2.1,0.1694,3100.0,3900.0
418,theestallion,Megan Thee Stallion,12.2M,2.1M,277.2K,2.3K,2K,12.2,2.1,0.2772,2300.0,2000.0
419,musdalifahbasrii,Musdalifah Basri,1.3M,2.2M,190.2K,3.4K,2.6K,1.3,2.2,0.19019999999999998,3400.0,2600.0
420,haileybieber,Hailey Bieber,9.8M,3.5M,342.6K,1.2K,845,9.8,3.5,0.3426,1200.0,845.0
421,dialaaljazairi,dialaaljazairi,198.7K,4M,113.2K,3.1K,2.4K,0.1987,4.0,0.11320000000000001,3100.0,2400.0
422,chihuahuapeaches,Peaches The Chi,295.2K,1.5M,296.7K,2K,3.6K,0.29519999999999996,1.5,0.29669999999999996,2000.0,3600.0
423,brunocampos,Bruno Campos,5.2M,5.4M,360.6K,626,619,5.2,5.4,0.36060000000000003,626.0,619.0
424,isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,1.6M,1.3M,265.6K,3.2K,3.8K,1.6,1.3,0.2656,3200.0,3800.0
425,rafaelsantos,Rafael Santos,18.5M,2.5M,398.2K,1.8K,645,18.5,2.5,0.3982,1800.0,645.0
426,happytummy_702,Suzy,731.3K,2.2M,396.7K,288,2.5K,0.7313,2.2,0.3967,288.0,2500.0
427,gemelasabello2,Gemelas Abello,17.9M,5M,376.2K,478,813,17.9,5.0,0.3762,478.0,813.0
428,douhalaribiii,Douha laribii,7.7M,4.1M,240.4K,1.6K,823,7.7,4.1,0.2404,1600.0,823.0
429,itzyofficial,ITZY,9.7M,1.7M,314.6K,3K,1.6K,9.7,1.7,0.31460000000000005,3000.0,1600.0
430,twinkle.t1ts,rylee,803.5K,3.7M,281.5K,2K,302,0.8035,3.7,0.2815,2000.0,302.0
431,murphslife,Aaron Murphy,5.7M,1.8M,279.5K,2.8K,2.1K,5.7,1.8,0.2795,2800.0,2100.0
432,tai.tl2,tai_tl,832.3K,1.9M,316.9K,1.6K,2.5K,0.8322999999999999,1.9,0.31689999999999996,1600.0,2500.0
433,vibin.wit.tay,Tay,4.1M,1.5M,295.9K,1.2K,4.4K,4.1,1.5,0.2959,1200.0,4400.0
434,leleburnier,LELÊ BURNIER,2.4M,1.6M,387.6K,2.9K,910,2.4,1.6,0.3876,2900.0,910.0
435,ae_ay__99,أية الشمري💙🐆,1.5M,3.2M,162K,1.3K,3.2K,1.5,3.2,0.162,1300.0,3200.0
436,maddzak,Maddzak,4.9M,3.3M,191K,3.5K,227,4.9,3.3,0.191,3500.0,227.0
437,nianaguerrero,Niana Guerrero,33.2M,3.1M,358.5K,1.5K,684,33.2,3.1,0.3585,1500.0,684.0
438,cardncyn,Carddd,3.8M,3.9M,541.9K,801,318,3.8,3.9,0.5418999999999999,801.0,318.0
439,soy_marcela4,Soy_marcela,4.5M,2.1M,336.6K,710,2.6K,4.5,2.1,0.3366,710.0,2600.0
440,cr.limit,YT- CR Limit,40.4K,2.8M,189.8K,2.4K,1.9K,0.0404,2.8,0.18980000000000002,2400.0,1900.0
441,logfive,Logan,2.5M,2.1M,313.5K,1.2K,2.3K,2.5,2.1,0.3135,1200.0,2300.0
442,katie34556,katie65886,67.6K,2.2M,149.1K,7.1K,122,0.0676,2.2,0.14909999999999998,7100.0,122.0
443,hesfinatia,PINAT🍅|| IG: @hesfinatia,8.9M,4.6M,434K,772,377,8.9,4.6,0.434,772.0,377.0
444,samdabaddest,Samaria,312.4K,1.5M,369.8K,836,3.3K,0.31239999999999996,1.5,0.3698,836.0,3300.0
445,palmertrolls,Ben Palmer,3.4M,2M,327.8K,884,2.7K,3.4,2.0,0.32780000000000004,884.0,2700.0
446,benorsini,Ben Orsini 👑,543.8K,2.2M,293.3K,2.8K,718,0.5438,2.2,0.2933,2800.0,718.0
447,vzelivx,vzelivx,731.3K,2.1M,271.2K,2.6K,1.3K,0.7313,2.1,0.2712,2600.0,1300.0
448,cassy.legaspi,CASSY LEGASPI,5.8M,3.7M,369.7K,1K,590,5.8,3.7,0.3697,1000.0,590.0
449,kwo.owk,KWOOWK,2.6M,2M,268.2K,2K,2.2K,2.6,2.0,0.2682,2000.0,2200.0
450,abbieherbert,AbbieHerbert,13.8M,3.7M,400.7K,917,581,13.8,3.7,0.4007,917.0,581.0
451,lyricoo__,ʟʏʀɪᴄᴏᴏ,1.2M,1.3M,165.7K,1.7K,8.6K,1.2,1.3,0.1657,1700.0,8600.0
452,mateus_hwang,Mateus Hwang,1.9M,1.9M,136.8K,5.8K,2.6K,1.9,1.9,0.1368,5800.0,2600.0
453,bswagggy,shaggy,16.8K,1.2M,294.6K,1.3K,5.1K,0.016800000000000002,1.2,0.29460000000000003,1300.0,5100.0
454,talalionaire,طلاليونير,905.6K,2.9M,195.1K,2K,1.8K,0.9056000000000001,2.9,0.1951,2000.0,1800.0
455,bigweirdworld,bigweirdworld,1.5M,1.1M,304.2K,2K,4.5K,1.5,1.1,0.30419999999999997,2000.0,4500.0
456,yurielkysojeda,Yurielkys Ojeda 🕷,14.8M,2.2M,277.3K,1.3K,2.3K,14.8,2.2,0.2773,1300.0,2300.0
457,cemresolmaz,cemre solmaz,10.4M,2M,137K,6.2K,1.7K,10.4,2.0,0.137,6200.0,1700.0
458,mrwhosetheboss,Arun Maini,1.5M,3.8M,447.5K,964,300,1.5,3.8,0.4475,964.0,300.0
459,kjsmoothh,Kjsmoothh,2.5M,1.8M,254.4K,2.9K,1.8K,2.5,1.8,0.2544,2900.0,1800.0
460,juaniquilador,JuanSGuarnizo,10.5M,2M,364.9K,1.8K,1.1K,10.5,2.0,0.3649,1800.0,1100.0
461,itsmenicksmithy,Nick Smithyman 🤓,7.9M,2.2M,305.5K,1.7K,1.4K,7.9,2.2,0.3055,1700.0,1400.0
462,khalidzain124,خالد زين,1.7M,2.6M,223.9K,1.6K,2K,1.7,2.6,0.22390000000000002,1600.0,2000.0
463,colewherld,colegonzales,5.3M,2.9M,277.1K,977,1.6K,5.3,2.9,0.2771,977.0,1600.0
464,000072mr,La beba,341.3K,2M,283.2K,1.2K,2.4K,0.3413,2.0,0.2832,1200.0,2400.0
465,ksi,KSI,9.8M,2.5M,178.6K,4.4K,178,9.8,2.5,0.17859999999999998,4400.0,178.0
466,alexojeda,Alex Ojeda 🇲🇽,8.1M,2.6M,272.6K,802,2.2K,8.1,2.6,0.2726,802.0,2200.0
467,j3ipy_,Jeipy,8.2M,1.7M,354.4K,2.3K,1.1K,8.2,1.7,0.3544,2300.0,1100.0
468,louuuyoung,louuuyoung,709.7K,872.9K,137.9K,4.4K,12.6K,0.7097,0.8729,0.1379,4400.0,12600.0
469,arafat.buffon,🦅🌑عرفات بوفون🌑🦅,1.4M,4.3M,246.7K,460,1.5K,1.4,4.3,0.24669999999999997,460.0,1500.0
470,reem_alsawas,ريم السواس,1.9M,3.9M,162.3K,1.1K,2.1K,1.9,3.9,0.1623,1100.0,2100.0
471,ahmedksontini2,Ahmed Ksontini,643.3K,2.1M,77K,0,12.6K,0.6433,2.1,0.077,0.0,12600.0
472,mostafa.ashraf14,Mostafa Ashraf,1.7M,2.8M,268K,1.2K,1.5K,1.7,2.8,0.268,1200.0,1500.0
473,arigameplays,AriGameplays,23.2M,2.8M,320.7K,1.4K,867,23.2,2.8,0.3207,1400.0,867.0
474,bela,Bela,8.8M,2.7M,390.7K,936,982,8.8,2.7,0.3907,936.0,982.0
475,senaitalo,italosenaoficial,2.6M,2.1M,198.8K,1.5K,3.3K,2.6,2.1,0.1988,1500.0,3300.0
476,kozuehayashii,Kozue,7M,2.6M,466.2K,370,1.3K,7.0,2.6,0.4662,370.0,1300.0
477,elrodcontreras,ROD🫠,41.6M,2M,254.5K,3.5K,413,41.6,2.0,0.2545,3500.0,413.0
478,kwechi_,Kwes,377.9K,1.6M,283.3K,1.5K,2.8K,0.37789999999999996,1.6,0.2833,1500.0,2800.0
479,5ifvi,𝙏𝙃𝙀 𝘿𝘼𝙍𝙆 𝙎𝙄𝘿𝙀,1.4M,2.4M,199K,410,3.7K,1.4,2.4,0.199,410.0,3700.0
480,druskitv,DRUSKI,3.7M,1.3M,241K,1.3K,4.9K,3.7,1.3,0.241,1300.0,4900.0
481,dearra,De’arra Taylor,3.7M,2.5M,458.4K,792,923,3.7,2.5,0.4584,792.0,923.0
482,briggi_bozzo,Briggitte Bozzo,23.9M,5.2M,361.9K,787,245,23.9,5.2,0.3619,787.0,245.0
483,flavinhalouise,Flavinhalouise,12.2M,3.2M,167.7K,709,2.8K,12.2,3.2,0.1677,709.0,2800.0
484,pailita.k7k,Pailita,1.2M,1.6M,257.4K,2.7K,2.1K,1.2,1.6,0.25739999999999996,2700.0,2100.0
485,itskingchris,KingChristian,17.2M,1.6M,299.7K,2.8K,1.3K,17.2,1.6,0.29969999999999997,2800.0,1300.0
486,mikaylanogueira,Mikayla Nogueira,13.5M,2.2M,320.3K,2.3K,411,13.5,2.2,0.32030000000000003,2300.0,411.0
487,rdcworld1,Mark Phillips,3.1M,1M,227.6K,1.2K,6.7K,3.1,1.0,0.2276,1200.0,6700.0
488,charlieputh,Charlie Puth,19M,2M,324.8K,1.9K,937,19.0,2.0,0.32480000000000003,1900.0,937.0
489,bikedasher,BikeDasher,4.3M,2.5M,398K,1.5K,407,4.3,2.5,0.398,1500.0,407.0
490,jonata_26,Jonata🤩,5.9M,1.9M,319.6K,646,2.5K,5.9,1.9,0.3196,646.0,2500.0
491,devincaherly,Devin Caherly,8.5M,4M,444.9K,894,147,8.5,4.0,0.44489999999999996,894.0,147.0
492,basementgang,Basement Gang,5.7M,1.4M,296K,1.5K,2.9K,5.7,1.4,0.296,1500.0,2900.0
493,soysaucer,fivar,1M,2M,272.8K,790,2.7K,1.0,2.0,0.2728,790.0,2700.0
494,abo.zizo,۩♥۩ عائلة ابو زيزو ۩♥۩,4.7M,3.7M,225.3K,723,1.5K,4.7,3.7,0.2253,723.0,1500.0
495,spriteder_spd,Prite Netijen Netirattanapaiboon,4.1M,3.6M,434.9K,845,334,4.1,3.6,0.43489999999999995,845.0,334.0
496,ugolord,⚖️ The TikTok Attorney ⚖️,6.3M,1.9M,186K,4.9K,369,6.3,1.9,0.186,4900.0,369.0
497,iamkailan,KAILAN 💚💛,3.9M,2.4M,219.9K,1.3K,2.2K,3.9,2.4,0.2199,1300.0,2200.0
498,lorengray,Loren Gray,54.6M,3.1M,358.7K,879,761,54.6,3.1,0.35869999999999996,879.0,761.0
499,daniuniverse,Dani Universe,9.7M,3.1M,322K,956,867,9.7,3.1,0.322,956.0,867.0
500,ser_jay,Hello It’s me SerJay,5.3M,1.4M,226.2K,2.5K,3.5K,5.3,1.4,0.22619999999999998,2500.0,3500.0
501,alexwaarren,Alex warren,15.5M,2.4M,419.8K,992,809,15.5,2.4,0.4198,992.0,809.0
502,lkzinhu,LK,17.2M,2.6M,306.5K,998,1.3K,17.2,2.6,0.3065,998.0,1300.0
503,joaoferdnan,João Ferdnan,8.1M,1.7M,173.5K,2.1K,4K,8.1,1.7,0.1735,2100.0,4000.0
504,taossenpai,tao's senpai,635.7K,1.2M,219.6K,1.4K,5.3K,0.6357,1.2,0.2196,1400.0,5300.0
505,isaach.p,Isaac H.P,3.1M,1.4M,217.2K,3.5K,2.3K,3.1,1.4,0.21719999999999998,3500.0,2300.0
506,maddy.leah3,Not me,246.2K,2M,196.3K,4.3K,237,0.2462,2.0,0.1963,4300.0,237.0
507,jordanavucetic,jordanavucetic,2.8M,1.1M,224.2K,5.2K,2.1K,2.8,1.1,0.22419999999999998,5200.0,2100.0
508,carlevellyn,Carla Evellyn,1.7M,2M,349.6K,2K,572,1.7,2.0,0.3496,2000.0,572.0
509,chinguamiga,Chingu Amiga,20.1M,2.5M,469.4K,1.1K,377,20.1,2.5,0.4694,1100.0,377.0
510,elpugaa,Puga,9.9M,2M,220.9K,341,3.7K,9.9,2.0,0.2209,341.0,3700.0
511,reymbayang,Rey,3.4M,1.3M,253K,2K,3.4K,3.4,1.3,0.253,2000.0,3400.0
512,tommyunold,Tommy,11.3M,2.3M,317.8K,2.2K,172,11.3,2.3,0.3178,2200.0,172.0
513,adamw,Adam W,16.9M,2.4M,266.3K,915,1.8K,16.9,2.4,0.26630000000000004,915.0,1800.0
514,anna..paull,Anna Paul,5.2M,2.4M,424.7K,1.3K,375,5.2,2.4,0.42469999999999997,1300.0,375.0
515,djadelilyes,Ilyes Djadel,390K,2.1M,311.8K,1.1K,1.6K,0.39,2.1,0.3118,1100.0,1600.0
516,kronnozomberoficial,KronnoZomber,728.2K,1.4M,289.1K,2.1K,2.3K,0.7282000000000001,1.4,0.2891,2100.0,2300.0
