S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
148,thenataliahms,Natalia Hurtado de Mendoza,73.9K,3.5M,259.6K,928,11.8K,0.07390000000000001,3.5,0.2596,928.0,11800.0
149,loganpaul,Logan Paul,15.9M,4.8M,976.9K,1.4K,1K,15.9,4.8,0.9769,1400.0,1000.0
150,andyarthursmith,Andy Arthur Smith,2.2M,3.3M,564.7K,3.3K,2.8K,2.2,3.3,0.5647000000000001,3300.0,2800.0
151,loganpaul,Logan Paul,15.9M,4.8M,976.9K,1.4K,1K,15.9,4.8,0.9769,1400.0,1000.0
152,andyarthursmith,Andy Arthur Smith,2.2M,3.3M,564.7K,3.3K,2.8K,2.2,3.3,0.5647000000000001,3300.0,2800.0
153,cauwave,cauwave,1.4M,2.6M,396.6K,2.7K,8.2K,1.4,2.6,0.3966,2700.0,8200.0
154,nicollefigueroaa,Nicolle Figueroa,12.7M,5.5M,766.1K,1.8K,882,12.7,5.5,0.7661,1800.0,882.0
155,brookemonk_,Brooke Monk,23.6M,5.7M,620.8K,1.8K,1.3K,23.6,5.7,0.6207999999999999,1800.0,1300.0
156,oldtimehawkey,Old Time Hawkey,6.4M,2.9M,445.5K,4.6K,4K,6.4,2.9,0.4455,4600.0,4000.0
157,mix_151,مكس _Mix,3.4M,4.8M,481.9K,3.2K,1.4K,3.4,4.8,0.4819,3200.0,1400.0
158,mmmjoemele,Joe Mele,22.8M,5.7M,848.4K,1.2K,1K,22.8,5.7,0.8483999999999999,1200.0,1000.0
159,lordtrunks,Lord Trunks,2.2M,4.2M,386.9K,3K,3.6K,2.2,4.2,0.38689999999999997,3000.0,3600.0
160,paytonking,Payton King,5.3M,2.6M,325K,4.8K,7.6K,5.3,2.6,0.325,4800.0,7600.0
161,squatch.and.sons_customs,Squatch and Sons Customs,213.6K,7.7M,471.3K,1.6K,1.2K,0.21359999999999998,7.7,0.4713,1600.0,1200.0
162,incorrectlyroce,Roce Ordoñez,8.4M,3.9M,678.6K,2.2K,1.7K,8.4,3.9,0.6786,2200.0,1700.0
163,lifeofclare,Clare Thurkett,42.2K,3.1M,724.4K,1.2K,3.4K,0.0422,3.1,0.7243999999999999,1200.0,3400.0
164,patrickbarnes,Patrick Barnes,2.4M,2.2M,417.2K,3.9K,7.3K,2.4,2.2,0.4172,3900.0,7300.0
165,the.historical,History Footage,201.5K,2.9M,346.2K,4.8K,5.1K,0.2015,2.9,0.3462,4800.0,5100.0
166,blamerobertjames,blamerobertjames,159.3K,3.5M,347.2K,4.4K,3.9K,0.15930000000000002,3.5,0.3472,4400.0,3900.0
167,pollerocho,pollerocho,3.5M,3.5M,567.2K,841,4.2K,3.5,3.5,0.5672,841.0,4200.0
168,ferchugimenez,Fernanda,7.7M,4.5M,825.6K,1.5K,1.1K,7.7,4.5,0.8256,1500.0,1100.0
169,jaykindafunny8,Jaykindafunny,24.3M,4.8M,612.4K,1.3K,2K,24.3,4.8,0.6123999999999999,1300.0,2000.0
170,kulinaria.recetas,AGUS LIPORACE,3.8M,3.4M,408.9K,443,6.4K,3.8,3.4,0.4089,443.0,6400.0
171,cocielo,Júlio Cocielo,5M,2.3M,675.9K,2K,4.1K,5.0,2.3,0.6759,2000.0,4100.0
172,darylsabara,darylsabara,695.7K,3.6M,628.5K,1.9K,2.1K,0.6957000000000001,3.6,0.6285,1900.0,2100.0
173,livefromthepark,Ninjy Dave,369K,2.2M,130.2K,1K,30.6K,0.369,2.2,0.13019999999999998,1000.0,30600.0
174,saraisthreads,Sarai Marie,1.6M,2.3M,462.7K,2.6K,6.1K,1.6,2.3,0.4627,2600.0,6100.0
175,fhd.artz,فهد آرت || Fahad🎨,2.2M,4.5M,288.8K,5.4K,1.4K,2.2,4.5,0.2888,5400.0,1400.0
176,ig_alongwiranda,🕌🏃,880.7K,3.2M,129.4K,1.2K,20K,0.8807,3.2,0.12940000000000002,1200.0,20000.0
177,initiaraandini,tiara andini,5.1M,3.8M,419.6K,2.6K,3K,5.1,3.8,0.41960000000000003,2600.0,3000.0
178,ndshvv,ndshvv,3.2M,3.8M,552.4K,3.4K,764,3.2,3.8,0.5524,3400.0,764.0
179,maiaknight,Maia Knight,8.8M,4.7M,720.5K,1.6K,960,8.8,4.7,0.7205,1600.0,960.0
